Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe
VILLA GUARDIA;COMO;Residenza Petrarca, rimozione serbatoio interrato;Varesina ang. via Pascoli;-;16409
GORDONA;SONDRIO;Aree esterne ditta SPORTS RDP;SOTTO STALLA BINI;;2851
GORDONA;SONDRIO;Aree esterne ditta SPORTS RDP;SOTTO STALLA BINI;;2851
NOVATE MEZZOLA;SONDRIO;Ex acciaierie Falck di Novate Mezzola e discarica di Samolaco. Proprietà Novamet;36;;286
NOVATE MEZZOLA;SONDRIO;LARIO SCAVI SRL;BUSAN;;3282
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;Area Impianto di Termodistruzione Comunale;F. M. VISCONTI - Loc. Mendosio;nd;3634
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;AUTODEMO;PASCOLI ANG. FOGAZZARO;;3638
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;Ex-DISCARICA Comunale RSU area ex-depuratore;CASCINA FONTANA;nd;3633
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0425;Mazzini;84;4942
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;P.V. SHELL 49031;Mazzini;179/b;9873
ARCONATE;CITTA' METROPOLITANA DI MILANO;ditta Manifattura Castiglioni S.p.A.;Industria;52/54;2297
ARCONATE;CITTA' METROPOLITANA DI MILANO;EX VASCHE DI SPAGLIAMENTO DELLA FOGNATURA COMUNALE;;;2576
ARESE;CITTA' METROPOLITANA DI MILANO;Area ex ALFA ROMEO, FIAT AUTO, INGEST - Soc Immobiliare Estate Sei S.p.A.;KENNEDY;;301
ARESE;CITTA' METROPOLITANA DI MILANO;soc. Promez srl, ex TRE FIORI;Ospiate - Rho;;718
ARLUNO;CITTA' METROPOLITANA DI MILANO;DITTA SARPOM SPA;PER TURBIGO;;2773
ARLUNO;CITTA' METROPOLITANA DI MILANO;TIRO A VOLO ARLUNESE;PER CORBETTA;;2812
ASSAGO;CITTA' METROPOLITANA DI MILANO;Achille Immobiliare EX MINGHETTI & C. SRL, ex-CAM IMMOBILIARE Srl;DONIZETTI;6;3419
ASSAGO;CITTA' METROPOLITANA DI MILANO;AREA CARREFOUR;-;-;4001
ASSAGO;CITTA' METROPOLITANA DI MILANO;AREA SERBATOI PALAZZO A;palazzo a ingresso 3 strada 4;;11007
ASSAGO;CITTA' METROPOLITANA DI MILANO;Autotrasporti Gallotti Luciano srl - Sinistro del 19/12/06;Ovest - nei pressi dello svincolo per Genova;km 20+200;6486
ASSAGO;CITTA' METROPOLITANA DI MILANO;MTBE c/o svincolo tangenziale W;Milano serravalle;;12403
BERNATE TICINO;CITTA' METROPOLITANA DI MILANO;EX DISCARICA DI RIFIUTI SOLIDI URBANI LUNGO LA TRATTA CAV TO -MI;KM 98+000 DELLA TRATTA CAV TO-MI;-;4174
BINASCO;CITTA' METROPOLITANA DI MILANO;RESINDION SRL;ROGGIA BAREGGIA;;3448
BOLLATE;CITTA' METROPOLITANA DI MILANO;Area Agricola Malerba/Placidia;Ferraris;34;4713
BOLLATE;CITTA' METROPOLITANA DI MILANO;Area Agricola Malerba/Placidia;Ferraris;34;4713
BOLLATE;CITTA' METROPOLITANA DI MILANO;AREA EX SILPA;Milano;60;790
BOLLATE;CITTA' METROPOLITANA DI MILANO;AREA EX SILPA;Milano;60;790
BOLLATE;CITTA' METROPOLITANA DI MILANO;IMM.RE PLACIDIA S.R.L. IN LIQUIDAZIONE;FERRARIS;;2353
BOLLATE;CITTA' METROPOLITANA DI MILANO;IMM.RE PLACIDIA S.R.L. IN LIQUIDAZIONE;FERRARIS;;2353
BOLLATE;CITTA' METROPOLITANA DI MILANO;P.V. Shell 49049;Milano;31/33;12827
BOLLATE;CITTA' METROPOLITANA DI MILANO;P.V. Shell 49049;Milano;31/33;12827
BOLLATE;CITTA' METROPOLITANA DI MILANO;SET TELECOMUNICAZIONI SPA;BELGIOIOSO;;2402
BOLLATE;CITTA' METROPOLITANA DI MILANO;SET TELECOMUNICAZIONI SPA;BELGIOIOSO;;2402
BRESSO;CITTA' METROPOLITANA DI MILANO;NEMA Srl - LOMBARDA TRASFORMATORI;MARCONI;7;3643
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;area comunale;DELLA RESISTENZA;15;3572
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;Area di Via Lucania;LUCANIA;2;3147
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;Area ex La Triveneta Cavi gruppo LTC ex area Cabel;Libertà;5;9109
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;"Area ""ex SOLFRENE""Condominio Via Buozzi 22";PALERMO;31;4524
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;"Area ""ex SOLFRENE""Posteggio Penny Market";PALERMO;31;4533
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;Area Finlema - Ex-Cip4, ex-Grecale srl;PALERMO;31;3649
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;BRUSSA S.r.l.;DELLA RESISTENZA;62;3652
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;EUROPRESSVIT S.r.l.;VENETO;10;3622
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;GALVANICA GENTILE S.r.l.;PIEMONTE;38;3650
BUSCATE;CITTA' METROPOLITANA DI MILANO;ex Industria Conciaria, ditta VALPO Srl, mappale 267 foglio10 - CPS Srl;MASCAGNI;8;2859
BUSSERO;CITTA' METROPOLITANA DI MILANO;MODERCROMO SRL;Genova;3;9266
BUSTO GAROLFO;CITTA' METROPOLITANA DI MILANO;DISCARICA RIFIUTI URBANI E ASSIMILABILI;BRUGHIEREZZA;;3206
BUSTO GAROLFO;CITTA' METROPOLITANA DI MILANO;Ditta Rimoldi Necchi srl;;;29
CALVIGNASCO;CITTA' METROPOLITANA DI MILANO;ditta Sodimec S.r.l.;Roggia Tolentina;;2303
CAMBIAGO;CITTA' METROPOLITANA DI MILANO;Ex cava GERRI;Gerri;;33
CANEGRATE;CITTA' METROPOLITANA DI MILANO;ITS, FIOR-GIEFFE;RAVENNA;;34
CANEGRATE;CITTA' METROPOLITANA DI MILANO;PV KUWAIT 1252;F.lli Bandiera;60;15855
CARPIANO;CITTA' METROPOLITANA DI MILANO;AREA AZIENDA AGRICOLA;Cascina Colnago;;7926
CARUGATE;CITTA' METROPOLITANA DI MILANO;FRABOADESIVI S.P.A.;GARIBALDI;76/78;2916
CASARILE;CITTA' METROPOLITANA DI MILANO;piano recupero  ZR4 -EX MACELLO;Binasco;76;13226
CASARILE;CITTA' METROPOLITANA DI MILANO;STABILIMENTO HENKEL LOCTITE ADESIVI S.r.l.;PUCCINI;65/67;3646
CASOREZZO;CITTA' METROPOLITANA DI MILANO;EX IMPIANTO DI DEPURAZIONE;;;3382
CASSINA DE'PECCHI;CITTA' METROPOLITANA DI MILANO;CONSORZIO CONSAGA;CASCINA SAN MORO;;3148
CASTANO PRIMO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;Marconi;1;14842
CASTANO PRIMO;CITTA' METROPOLITANA DI MILANO;AREE SPAGLIAMENTO FOGNATURA LOC. MALVAGLIO E SOMELLI;-;-;3381
CERRO AL LAMBRO;CITTA' METROPOLITANA DI MILANO;CASCINA GAZZERA;CASCINA GAZZERA;;55
CERRO AL LAMBRO;CITTA' METROPOLITANA DI MILANO;Discarica  ex Chimica Saronio;per Melegnano;;56
CERRO MAGGIORE;CITTA' METROPOLITANA DI MILANO;EX CROMOS TNF SPA;statale saronese km 27,7;;14068
CERRO MAGGIORE;CITTA' METROPOLITANA DI MILANO;POLO BARAGGIA;cCerro e Rescaldina;;16113
CESANO BOSCONE;CITTA' METROPOLITANA DI MILANO;P.V. IP 42635;Pasubio;-;4939
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;AREA DI SERVIZIO ADS LAMBRO SUD -PVF 0054;a4 km 135+900;;15429
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA ROBECCO;Robecco;69;9181
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;PER BRESSO;Per Bresso;;15752
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;P.V 2157 TAMOIL;Brianza;31;11109
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;Area Ex Sirom-CIS 24;Milano;-;8071
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;edificio a uso industriale EX AGOSTONI;Pisa;43;12286
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE MARTESANA SRL;MILANO;;3432
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;PIANO PARTCOLAREGGIATO C.I.S. 21, CASCINA  MELGHERA VIA CALAMANDREI, C.SO EUROPA, VIA CAVALLOTTI.;CALAMANDREI;;2674
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;PV 4038 TOTAL FINA ELF - COLOGNO EST;TANGENZIALE EST DIREZIONE NORD;;3494
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;TERRENI  VIALE EUROPA;Europa;0;15851
CORMANO;CITTA' METROPOLITANA DI MILANO;Area condominiale;XXIV Maggio;67;6039
CORMANO;CITTA' METROPOLITANA DI MILANO;Area EX NYMCO;dei Giovi;6;9141
CORMANO;CITTA' METROPOLITANA DI MILANO;Area ex Officine Standard;Galilei;-;7564
CORMANO;CITTA' METROPOLITANA DI MILANO;ex siai lerici;Leopardi angolo Europa;;15432
CORMANO;CITTA' METROPOLITANA DI MILANO;OROPRESS SPA;Statale dei Giovi;102/104;9391
CORMANO;CITTA' METROPOLITANA DI MILANO;SU.PER SRL;GRAMSCI;41;3445
CORNAREDO;CITTA' METROPOLITANA DI MILANO;DITTA LUBRA  S.p.A.;Edison;4;4059
CORNAREDO;CITTA' METROPOLITANA DI MILANO;EX DISCARICA DI RIFIUTI SOLIDI URBANI LUNGO LA TRATTA CAV TO-MI;KM 117 + 300;;4175
CORSICO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0426;Milano;9;4098
CORSICO;CITTA' METROPOLITANA DI MILANO;PVF 0469 ESSO ITALIANA Srl;Resistenza;48/50;2856
CUSAGO;CITTA' METROPOLITANA DI MILANO;UNIVAR SpA;VOLTA;49/51;3619
CUSANO MILANINO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0303;Dei Fiori;-;4508
GAGGIANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;ROMA E VIA GARIBALDI;;4115
GAGGIANO;CITTA' METROPOLITANA DI MILANO;Consorzio Agrario di Milano e Lodi;Marconi;-;6422
GAGGIANO;CITTA' METROPOLITANA DI MILANO;P.V. TAMOIL 6126;MANZONI;3/5;2777
GARBAGNATE MILANESE;CITTA' METROPOLITANA DI MILANO;AREA EX MOKARABIA;Roma;94;13830
GARBAGNATE MILANESE;CITTA' METROPOLITANA DI MILANO;HERMELIN BIGLIARDI S.R.L.;DELLE BRUGHIERE;4;2683
GARBAGNATE MILANESE;CITTA' METROPOLITANA DI MILANO;L'INCISIONE SPA;MERONI;26/28;2919
GORGONZOLA;CITTA' METROPOLITANA DI MILANO;P.V.Total n. 1194, ora TotalErg Spa;Provinciale S.P. 13 Km 12+140;-;10446
GUDO VISCONTI;CITTA' METROPOLITANA DI MILANO;Area Via Cornaggia 2 - Ditta Nula Antonino;Cornaggia;2;9450
INVERUNO;CITTA' METROPOLITANA DI MILANO;ex CROMATURA GARAGIOLA - ditta G.G.I. Garagiola Galvaniche Inveruno;PALESTRO;15;2876
INVERUNO;CITTA' METROPOLITANA DI MILANO;EX OLEIFICIO F.LLI BELLOLI;NOVEMBRE, MONTEBELLO, BRERA;;2920
INZAGO;CITTA' METROPOLITANA DI MILANO;CASCINA PIROGALLA;CASCINA PIROGALLA;;2922
LACCHIARELLA;CITTA' METROPOLITANA DI MILANO;OLEODOTTO SIGEMI- incidente del 9.5.2013;Mettone -SP 40 Melegnano/Binasco;;16346
LACCHIARELLA;CITTA' METROPOLITANA DI MILANO;OMAR ex PETROLDRAGON;;;94
LACCHIARELLA;CITTA' METROPOLITANA DI MILANO;SIGEMI- CASCINA CROCINA;KM 4 + 700;;3090
LAINATE;CITTA' METROPOLITANA DI MILANO;EX TRAFILERIE DI LAINATE;Manzoni;39;13726
LAINATE;CITTA' METROPOLITANA DI MILANO;"P.V. AGIP 51905, A8 ""Villoresi Ovest""";A8;-;4476
LEGNANO;CITTA' METROPOLITANA DI MILANO;Area dismessa di via Manzoni;Manzoni;43;13107
LEGNANO;CITTA' METROPOLITANA DI MILANO;AREA EX STASER;PISA;21;4071
LEGNANO;CITTA' METROPOLITANA DI MILANO;PENSOTTI - AREA A;S.Bernardino-Firenze-Sabotino-Pisa;;10706
LEGNANO;CITTA' METROPOLITANA DI MILANO;SITO INDUSTRIALE DISMESSO;Resegone;;13426
LEGNANO;CITTA' METROPOLITANA DI MILANO;VOLONTERIO FEDELE S.R.L.;CADORE;32;2926
LOCATE DI TRIULZI;CITTA' METROPOLITANA DI MILANO;Area Ex latteria San Giorgio;-;-;4717
MAGNAGO;CITTA' METROPOLITANA DI MILANO;EX VASCHE DI SPAGLIAMENTO FOGNATURA COMUNALE;;;3383
MARCALLO CON CASONE;CITTA' METROPOLITANA DI MILANO;Area di Via Damiano Chiesa;Damiano Chiesa;-;15069
MARCALLO CON CASONE;CITTA' METROPOLITANA DI MILANO;EX DISCARICA DI RIFIUTI SOLIDI URBANI LUNGO TRATTA CAV TO-MI;KM 105 + 300 DELLA TRATTA CAV TO-MI;;4173
MEDIGLIA;CITTA' METROPOLITANA DI MILANO;Ca' del Lambro;;;115
MEDIGLIA;CITTA' METROPOLITANA DI MILANO;MAPEI - parco serbatoi;Provinciale;159;13752
MELZO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 058- Impianto stradale vendita Carburanti;Cristoforo Colombo;5;3931
MELZO;CITTA' METROPOLITANA DI MILANO;stabilimento Mondadori;Marco Polo;2;7225
MILANO;CITTA' METROPOLITANA DI MILANO;ADS AGIP 12194 Cascina Gobba Ovest;Est Milano - Dir. Bologna;;7828
MILANO;CITTA' METROPOLITANA DI MILANO;AMSA SPA;ZAMA;31/33;7243
MILANO;CITTA' METROPOLITANA DI MILANO;AREA ALER -  ZAMA SALOMONE;SALOMONE /ZAMA;;2753
