Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;Ditta Zincheria Musso;Lombardia;16;6986
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE ASSAGO, EX ANTIBIOTICOS;;;3218
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;KLUBER LUBRICATION ITALIA;Monferrato;57;14847
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP N. 2263;N. 40 MELEGNANO BINASCO;;3609
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA TAMOIL 8058;ROMA - S.S. 9 EMILIA;9;4005
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;Sito Air Product, proprietà ASHLAND ITALIA S.P.A.;UMBRIA;4;2902
SEGRATE;CITTA' METROPOLITANA DI MILANO;EX DITTA 3B ITALIA SRL;REDECESIO;14/18;3669
SENAGO;CITTA' METROPOLITANA DI MILANO;Area di Via Brodolini soc. Enel Distribuzione;Brodolini;-;15087
SENAGO;CITTA' METROPOLITANA DI MILANO;AREA EX PLASTECO MILANO S.r.l. - zona b proprietà Londra s.r.l.;MONTI;3;3623
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA BC46;Madonna del Bosco;330;15829
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;Area Elyo;Barcellona;3;4485
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA EX ENICHEM // Soc. AREE srl;LUINI;241;3889
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA EX MARELLI - ex SAPSA BEDDING SPA ora NICHELCROM;RIMEMBRANZE;62;2478
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA SACRI;Cadore;38;10510
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;CAVA PARPAGLIONA - MELZI & FIGLI;PARPAGLIONA;;2901
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE VIALE ITALIA SRL;Italia;936;12809
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;PARCHEGGIO AUTOSILO;MANTOVANI;;2676
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0072;Rimembranze;191;4157
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;Scuola Media VII;F.lli di Dio;-;7766
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;SOCIETA'  E.C.I.S. S.R.L. LOTTO 2SS4 CIMEP;PACE ANG. VIA MANTOVA;;2687
SETTALA;CITTA' METROPOLITANA DI MILANO;HENKEL;DON MINZONI;1;3229
SETTALA;CITTA' METROPOLITANA DI MILANO;SUN CHEMICAL GROUP SpA ex TOTAL INCHIOSTRI S.p.A.  Divisione Caleppio 1;A. GRANDI;6;206
SETTIMO MILANESE;CITTA' METROPOLITANA DI MILANO;PROSINTEX INDUSTRIE CHIMICHE ITALIANE S.R.L.;FERMI;20-26;2685
SETTIMO MILANESE;CITTA' METROPOLITANA DI MILANO;SUBERNOVA;SERRA;6;3232
TREZZANO ROSA;CITTA' METROPOLITANA DI MILANO;CAVA GERA EX CAVA DE LUCCHI;DE GASPERI;;4162
TREZZANO SUL NAVIGLIO;CITTA' METROPOLITANA DI MILANO;ALGAFINA, AREA ALGALITE;LEONARDO DA VINCI;271;3209
TREZZANO SUL NAVIGLIO;CITTA' METROPOLITANA DI MILANO;Area PII Brunelleschi;Brunelleschi;36-44;10729
TREZZANO SUL NAVIGLIO;CITTA' METROPOLITANA DI MILANO;BRENNTAG SPA;BOCCACCIO;3;2890
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;DITTA FORNACE LATERIZI, MAPPALI 68-69, Fg°11;GUARNIERIO;100;2274
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;Ditta SATRI srl ex ZINDER;LOMBARDIA;58;224
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;FORNACE DELL'ADDA, BETONVILLA S.P.A.;BRASCA;131;2769
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;via Brasca 131 ditta FORNACE DELL'ADDA;BRASCA;131;1614
TRIBIANO;CITTA' METROPOLITANA DI MILANO;fuoriuscita idrocarburi su sp 29;Rossini;;15741
TRIBIANO;CITTA' METROPOLITANA DI MILANO;SIRPI SPA;Cassino d'Alberi;19;15313
TRUCCAZZANO;CITTA' METROPOLITANA DI MILANO;Stabile privato;Milano;10;9865
TURBIGO;CITTA' METROPOLITANA DI MILANO;AREA LAGHETTO ARBUSTA;laghetto;;13848
TURBIGO;CITTA' METROPOLITANA DI MILANO;AREA  VIA MOLINARA;Molinara;;10285
TURBIGO;CITTA' METROPOLITANA DI MILANO;PRATI DELLA FOLLA, EX DISCARICA BAROZZA;;;229
VANZAGO;CITTA' METROPOLITANA DI MILANO;Cava Valderenne;;;269
VIMODRONE;CITTA' METROPOLITANA DI MILANO;Deposito TAMOIL PETROLI SpA;"N. 11 ""PADANA SUPERIORE""";;2871
VIMODRONE;CITTA' METROPOLITANA DI MILANO;EX DISCARICA E.C.A., ELFE sas,  NOVA Ludovico e figli;MIRAZZANO;-;244
VIMODRONE;CITTA' METROPOLITANA DI MILANO;EX TOSCOPETROL, BRENNTAG SPA;PADANA SUPERIORE n.11;35;2588
BARANZATE;CITTA' METROPOLITANA DI MILANO;Cava RONCHI;Bissone;-;16
BARANZATE;CITTA' METROPOLITANA DI MILANO;COSTRUZIONI AGRICOLE E INDUSTRIALI Srl, ex WEISS;Belgioioso/Tonale;-;2887
ALBINO;BERGAMO;Area lungo il fiume Serio, rinvenimento rifiuti interrati;Pertini;-;15253
ALBINO;BERGAMO;Ex AUTODEMOLIZIONI;LUNGA;46/A;3996
ARCENE;BERGAMO;EX CAVA CASCINA DAZIO;CASCINA DAZIO;;260
BAGNATICA;BERGAMO;DISCARICA ABUSIVA;V° ALPINI;;2735
BERGAMO;BERGAMO;Area CTG ITALCEMENTI GROUP;Vivaldi;13;4297
BERGAMO;BERGAMO;AREA EX REGGIANI MACCHINE;DEL GUERINO;;4172
BERGAMO;BERGAMO;CASERMA;Suardi;30;14427
BERGAMO;BERGAMO;EX TINTORIA OROBICA;Rota;-;9285
BERGAMO;BERGAMO;P.V. ERG BG096;Broseta;75/b;6245
BOLGARE;BERGAMO;AREA S2BIS;Europa;38;14966
BOLTIERE;BERGAMO;ex Cava Francesca;Fopa del Firmì;;18
BONATE SOPRA;BERGAMO;AREA ex autodemolizioni;Carsana;41;10435
BREMBATE;BERGAMO;ex D.I.M.;Grignano;33;22
BREMBATE DI SOPRA;BERGAMO;READY LINE SRL;G. DONIZETTI;114;3066
CALCIO;BERGAMO;AZIENDA AGRICOLA ZANETTI;;;2794
CALCIO;BERGAMO;TAV TRATTA MILANO VERONA LOC CASCINA TORCHIA;PROG. IN51 TRATTA MI/VE;;3588
CANONICA D'ADDA;BERGAMO;SCHLUMBERGER ITALIANA SPA-EX DOWELL;DEL LAVORO;1;3058
CARAVAGGIO;BERGAMO;EX VENETA MINERARIA;;;2621
CASAZZA;BERGAMO;ENI S.p.A. P.V. Agip 1522;NAZIONALE in fregio alla ss 42 KM 43+201;;3995
CASIRATE D'ADDA;BERGAMO;CASIRATE ISID CENTRALE, ENI SPA;;;12807
CASTELLI CALEPIO;BERGAMO;AREA EX FONDERIA DEL QUINTANO;LOC. QUINTANO;;3825
CASTELLI CALEPIO;BERGAMO;Faini Bigiotteria Porto, ROTOGALVANO SNC, ERGA S.P.A.GRUPPO ENEL;PORTO;;385
CISERANO;BERGAMO;Ditta ex CastelCrom s.r.l.;MARTIN LUTHER KING;5;2669
CISERANO;BERGAMO;ex depuratore;ex depuratore;;62
CISERANO;BERGAMO;EX Discarica Via S.P. Francesca;S.P. Francesca;;63
CISERANO;BERGAMO;Plume Zingonia, pozzo barriera di Ciserano;Giovanni XXIII;;15906
CIVIDATE AL PIANO;BERGAMO;AZIENDA AGRICOLA SAN GIORGIO;;;65
CIVIDATE AL PIANO;BERGAMO;ditta Nuova L.G.Z. srl;Cascina Bosco;1;399
CIVIDATE AL PIANO;BERGAMO;OLIFER ACP Acciaierie;MOTTA ALTA;14;397
COSTA VOLPINO;BERGAMO;DISCARICA DI SCORIE ACCIAIERIE PISOGNE;Pizzo - Torrente Ogliolo;;77
COSTA VOLPINO;BERGAMO;PIATTAFORMA ECOLOGICA;Santa martina;10;10293
COSTA VOLPINO;BERGAMO;P.V. TOTAL N. 2538;NAZIONALE;21;3993
DALMINE;BERGAMO;Ex P.V. Shell 11117;delle Valli;-;14186
GAZZANIGA;BERGAMO;Area Via Crispi;Crispi;-;4343
GORLE;BERGAMO;EX DEPOSITO PETROLIFERO;Leopardi;6;13486
GORLE;BERGAMO;FARMOL S.P.A. E FERRETTICASA;MONTE BIANCO;;3329
LEVATE;BERGAMO;DITTA CO.BE.A;;;2558
LOVERE;BERGAMO;P.V. SHELL 11095;Marconi;55;4254
MADONE;BERGAMO;P.I.I. Ex Borregard  - GREEN SERVIZI S.r.l.;carso;73;11766
MONASTEROLO DEL CASTELLO;BERGAMO;P.V. carburanti TOTAL;Kennedy;2;11087
MOZZANICA;BERGAMO;LUGO TRASPORT, EX CAVA BERGAMINI;;;146
MOZZANICA;BERGAMO;ROHM AND HAAS ITALIA SRL;11 Km 190;;147
OSIO SOPRA;BERGAMO;EX SMALTERIE OSIO, JACOB DELAFON ITALIA SRL;STATALE;7/9;3071
PEDRENGO;BERGAMO;CHEMTURA MANUFACTURING ITALY SRL EX GREAT LAKES;MAZZINI;11;2660
PONTE NOSSA;BERGAMO;Enirisorse ex Ditta Nuova Samin, Ponte Nossa S.p.A.;PONTE RISO;;168
SAN PELLEGRINO TERME;BERGAMO;CLUB TIRO AL VOLO;LOCALITA'  BALCONCELLO;;3821
SCANZOROSCIATE;BERGAMO;EX-LONZA SPA - POLYNT SPA;ENRICO FERMI;51;3125
SERIATE;BERGAMO;AREA IPER;Dolomiti;;14228
SERIATE;BERGAMO;Tiro al volo;Lazzaretto;-;15263
SORISOLE;BERGAMO;"Azienda Agricola ""AL LAGHETTO""- ex discarica Fonderia ARICCI";loc. Petosino Via Marconi;65;2165
SPIRANO;BERGAMO;Ex Piazzola Ecologica;Pace;-;11227
TELGATE;BERGAMO;MARMI OROBICI GRANITI SPA;CAVALLERA;1;3547
TERNO D'ISOLA;BERGAMO;Ditta FBM HUDSON;Valtrighe;5;2881
TORRE PALLAVICINA;BERGAMO;CAVA TELGATA Srl;;;2741
TRESCORE BALNEARIO;BERGAMO;AREA VALFERRO SNC;Gramsci;35;14810
TRESCORE BALNEARIO;BERGAMO;Preorobica Immobiliare srl area ex REPING srl;Gramsci;;219
TREVIGLIO;BERGAMO;BASLINI SPA;BASLINI;1;3069
TREVIGLIO;BERGAMO;Farchemia S.R.L.;Bergamo;121;492
TREVIGLIO;BERGAMO;ICIB SPA;Casorate Vecchia;4;11289
TREVIGLIO;BERGAMO;SCALO FERROVIARIO TREVIGLIO OVEST;ferroviario;;13866
VERDELLINO;BERGAMO;CDS Azienda Galvanica;Lisbona;20;15226
VERDELLINO;BERGAMO;Cromoplastica International spa;Oslo;3;9245
VERDELLINO;BERGAMO;NUOVA IGB SRL;Italia;19;14076
VILLA D'ALME';BERGAMO;P.V. AGIP 1542 Sp 470;Sigismondi;39;4494
ZANICA;BERGAMO;Area Ex Discarica SEAM;Padergnone;-;5595
ZANICA;BERGAMO;Discarica CUTER;Cascina Cucco;;246
AGNOSINE;BRESCIA;EX RIVADOSSI;Marconi;17;15893
BAGNOLO MELLA;BRESCIA;P.V. TAMOIL 8228, A.d.s. Ghedi Est;A 21;-;5435
BERZO DEMO;BRESCIA;Discarica GRAFTECH Stabilimento Forno Allione;-;-;5265
BOTTICINO;BRESCIA;Area DOROTEX srl in liquidazione, con Cromatura Staff plume  Cr VI;GARIBALDI;34;3467
BRESCIA;BRESCIA;Area Ex Magazzini Generali;-;-;6261
BRESCIA;BRESCIA;Baratti di Eredi Inselvini s.r.l.;Padova;7;9967
BRESCIA;BRESCIA;Cava Piccinelli;;;250
BRESCIA;BRESCIA;Ditta Forzanini - ex-Cromatura Forzanini - SIN Brescia-Caffaro;Ancona;62;14287
BRESCIA;BRESCIA;EX DEPOSITO ITALIANA PETROLI - PUNTO VENDITA 6977;SOSTEGNO;;3591
BRESCIA;BRESCIA;Linea AV/AC Milano-Verona Tratto Funzionale Treviglio Brescia IBS06b;ferroviario;-;16414
BRESCIA;BRESCIA;Linea AV/AC TO-VE tratta Milano-Verona Lotto Funzionale Treviglio Brescia;ferroviario Brescia;;14006
BRESCIA;BRESCIA;P.M.B. COSTRUZIONI S.R.L. EX CAM PETROLI;SARDEGNA;105;3131
BRESCIA;BRESCIA;P.V. AGIP 51755;Dalmazia;44;5258
BRESCIA;BRESCIA;SEDE IV CIRCOSCRIZIONE;VILLA GLORI;13;2883
CALCINATO;BRESCIA;AREA DEMANIO REGIONALE - LOCALITA' PONTE SAN MARCO;GAVARDINA;;2742
CALVISANO;BRESCIA;SISVA srl;brescia;65;32
CAPRIANO DEL COLLE;BRESCIA;Discarica Raffineria Metalli Capra;Monte Netto;-;6260
CASTEGNATO;BRESCIA;EX DISCARICA di R.S.U.;PIANERA;;3497
CASTENEDOLO;BRESCIA;CAVA FAUSTINI;GHISELLE;;3592
CASTENEDOLO;BRESCIA;EX CAVA LAGO BORGO;RISORGIMENTO;114;3041
CHIARI;BRESCIA;CAMPO SPORTIVO;Monteverdi;;3733
CHIARI;BRESCIA;PALAZZO CAVALLERI - PROPRIETA' RITIM;S.S. TRINITA';5;4114
CHIARI;BRESCIA;PARCO LOTTIZZAZIONE TRIFOGLIO;Trifoglio;;3714
CHIARI;BRESCIA;PARCO VILLA MAZZOTTI;Mazzini;;3675
CONCESIO;BRESCIA;"CAFFARO SPA - SOTTOSTAZIONE ELETTRICA ""STOCCHETTA""";ZANARDELLI;50;3435
DARFO BOARIO TERME;BRESCIA;ALBA - EX ACCIAIERIA SERENA  DI DARFO;PRADE A ERBANNO;--;4090
DARFO BOARIO TERME;BRESCIA;DARFO Trade - ex-Sageter;Bonara;12;11646
DARFO BOARIO TERME;BRESCIA;EX ITALSIDER;Bonara;;14909
DARFO BOARIO TERME;BRESCIA;EX STABILIMENTO CERESTAR SpA ora proprietà DIAMALTERIA ITALIANA;LEPETIT;6;3581
DARFO BOARIO TERME;BRESCIA;LINEA ENERGIA SPA - EX Sageter;Bonara;;9385
DARFO BOARIO TERME;BRESCIA;PUNTO VENDITA AGIP 1739;ROCCOLE;38;4040
DARFO BOARIO TERME;BRESCIA;PUNTO VENDITA TAMOIL PETROLI N. 6280;MARCONI;100;3424
DARFO BOARIO TERME;BRESCIA;Società DARFO SPA - SAGETER ENERGIA SPA;BONARA - LOC. CORNA;;3523
DELLO;BRESCIA;AREA ECO NEPROMA;San Zenone;;14746
DESENZANO DEL GARDA;BRESCIA;P. V. ESSO N. 1015;MARCONI;2;4130
DESENZANO DEL GARDA;BRESCIA;P.V. Shell 14023;Mantova;5;15155
DESENZANO DEL GARDA;BRESCIA;Sito FEDERAL MOGUL;Marconi;131;5255
ERBUSCO;BRESCIA;P. V. Total Erg 4034 AdS SEBINO NORD;A4 Milano Venezia;-;3454
ESINE;BRESCIA;P.V. TAMOIL 3536;42 del Tonale Km 78+130;-;5264
FIESSE;BRESCIA;CAVE ROCCA SRL;CASCINA PIAVE;;622
GARDONE VAL TROMPIA;BRESCIA;Area Ex Cromoplast;Matteotti;345;6267
GARDONE VAL TROMPIA;BRESCIA;FABBRICA PIETRO BERETTA;Pietro Beretta;18;9225
GARDONE VAL TROMPIA;BRESCIA;Galvanotechnik s.r.l.;Val Trompia;29;13326
GARDONE VAL TROMPIA;BRESCIA;TRW ITALIA S.P.A.;VALTROMPIA;125;2789
GAVARDO;BRESCIA;ASPIRECO SRL;BUSELLA;26;3048
GIANICO;BRESCIA;EX ACCIAIERIE E FERRIERE SEBINO S.p.A.;CAROBE;9;3944
LENO;BRESCIA;Area Ditta Ferrorottami F.lli Gorini;Bivio Risparmio;2;5425
LOGRATO;BRESCIA;REMI S.R.L., ECOLINE S.R.L.;IV NOVEMBRE;58;2619
LONATO;BRESCIA;Cascina Traversino;Campagnoli;;104
LONATO;BRESCIA;DISCARICA INCONTROLLATA;LOCALITA' TRIVELLINO;;3336
LONATO;BRESCIA;DITTA FERALPI;INDUSTRIA;23;632
MACLODIO;BRESCIA;Piombifera Italiana;Molini Emili;26;253
MANERBIO;BRESCIA;P.V. AGIP 1688;Brescia;-;8489
MAZZANO;BRESCIA;Ex discarica di Ciliverghe;-;-;8306
MONTICELLI BRUSATI;BRESCIA;ERCOS SPA;IV NOVEMBRE;;3043
MONTICHIARI;BRESCIA;Ditta Tank Wash Matras;Aeroporto;52;5456
MONTICHIARI;BRESCIA;Ex Cava Accini;località Terminoni;--;14807
MONTICHIARI;BRESCIA;ex cava Baratti;località Ponchioni;;634
MONTICHIARI;BRESCIA;EX CAVA BICELLI;località Ponchioni;--;14806
MONTICHIARI;BRESCIA;olio trasformatore ENEL;Montechiaresa;-;5618
MONTICHIARI;BRESCIA;Telecom Italia S.p.a. - perdita serbatoio;Marconi;52/54;8231
NAVE;BRESCIA;ACCIAIERIE E FERRIERE FENOTTI E COMINI SPA;TRENTO;26;14834
NAVE;BRESCIA;Ex-AFIM  - Oasi Immobiliare;Sorelle Minola;--;14833
ODOLO;BRESCIA;Ilfo SpA;BRESCIA;7;5281
ODOLO;BRESCIA;OLIFER SRL;MARCONI;4;3487
ORZINUOVI;BRESCIA;AREA  VIA ADUA 67;Adua;67;16447
ORZINUOVI;BRESCIA;PV ESSO 1324;Adua;26;5615
OSPITALETTO;BRESCIA;Linea AV MI-VR, sito OS04-CT101;tra Km 7+900 e 8+350;-;14366
PADERNO FRANCIACORTA;BRESCIA;CAVE SORELLE VIANELLI;;;3036
PASSIRANO;BRESCIA;PUNTO VENDITA AGIP PETROLI N. 11733;EUROPA - LOC. CAMIGNONE;;3402
PISOGNE;BRESCIA;DISCARICA PIZZO - DEPOSITO DI RIFIUTI ABBANDONATI;PIZZO;-;3513
PISOGNE;BRESCIA;EX COMPLESSO INDUSTRIALE - METAL FRA S.R.L.;MILANO;;2805
PISOGNE;BRESCIA;ex Officine Laminatoi Sebino S.p.A., CON COSTA VOLPINO;;;264
PISOGNE;BRESCIA;PEZZOTTI SRL;;;3442
PUEGNAGO SUL GARDA;BRESCIA;SIDERGARDA MOLLIFICIO BRESCIANO S.r.l. - LOC. RAFFA;nazionale;7;4113
QUINZANO D'OGLIO;BRESCIA;Discarica su proprietà S.I.M.P.O spa;Gandini;62;12491
REZZATO;BRESCIA;AGRISERVICE S.R.L. SVERSAMENTO DI IDROCARBURI;11;;2786
REZZATO;BRESCIA;Cromatura STAFF, con Area DOROTEX s.r.l. in liquidazione, plume  Cr VI;Gobetti;-;5619
REZZATO;BRESCIA;ESSO PVF 0831 km 15+ 238;sud di brescia;;15447
RONCADELLE;BRESCIA;rimozione rifiuti area ex Pietra;f.lli Cervi;;10349
ROVATO;BRESCIA;Discarica Cogeme Gestioni;Rimembranze;-;6984
SAREZZO;BRESCIA;EX STABILIMENTO INDUSTRIALE ITALCABLES SPA;F.lli Capponi;72;12086
SONICO;BRESCIA;P.V. Q8, S.S. 42 del Tonale e della Mendola;km 116+685;-;5235
TRAVAGLIATO;BRESCIA;DITTA NORD CAVE SRL;MACOGNA;;2804
VILLA CARCINA;BRESCIA;AREA  P.A.5;MARCONI;;4103
VILLA CARCINA;BRESCIA;EFFEBIESSE S.p.A.;via Vittorio Veneto;142;3946
VOBARNO;BRESCIA;S.P IV -LOC.Carpeneda - Rilascio accidentale;s.p IV Tormini-Barghe;;9811
PIANCOGNO;BRESCIA;Area dismessa ex Ditta VI.BI.;SERRAT;;2496
ALBAREDO ARNABOLDI;PAVIA;Ditta Zeta Petroli - OIL TERMICA;BRONZI;;4
BEREGUARDO;PAVIA;DITTA ESSO ITALIANA S.R.L.PVF ESSO 0239;PARTIGIANI;;3805
BORGO SAN SIRO;PAVIA;SARPI METALLI, COMETAL SRL;Frazione Cason Polo;-;2471
BRONI;PAVIA;P.V. TAMOIL 4207;Veneto;-;5295
CASANOVA LONATI;PAVIA;AREA PROPRIETA' PRIVATA - SVERSAMENTO SERBATOIO INTERRATO;Mazzini;21;16435
CASTEGGIO;PAVIA;EX PV SHELL;Emilia;107;7813
DORNO;PAVIA;ROC RM S.R.L.;A7 AREA  SERVIZIO DORNO EST.KM 100,400 GE-MI;;3800
FERRERA ERBOGNONE;PAVIA;DEPOSITO PRAOIL OLEODOTTI ITALIANI S.P.A.;Zona Industriale;;2799
FERRERA ERBOGNONE;PAVIA;Serbatoio S16 - deposito Praoil;Zona industriale;;314
LARDIRAGO;PAVIA;Fuoriuscita accidentale gasolio propr. Privata - Corso d'acqua superficiale in fregio alla S.P. 2;per Melegnano;2;8169
MEDE;PAVIA;P.V. TAMOIL 8059;Dei Mille;-;5296
MONTICELLI PAVESE;PAVIA;AGRICHIMICA/COLLA;ARSENALE;;143
MORTARA;PAVIA;Stabilimento di Via Lomellina 7 - ex area Marzotto;Lomellina;7;8406
PAVIA;PAVIA;AREA EX NECA;R. BRICHETTI;7;3801
PAVIA;PAVIA;BORGO SNIA SRL - TRADITAL SPA;MONTEGRAPPA - VIA DOSSI;;3447
PAVIA;PAVIA;CONDOMINIO BCD;MARCONI;1/D;2846
PAVIA;PAVIA;PUNTO VENDITA CARBURANTE AGIP PETROLI, PV 2280;BRAMANTE;50;2526
PAVIA;PAVIA;PV 49080  AGIP;SS 35;;3794
PINAROLO PO;PAVIA;ditta Chimica Ponte Alto;adicente S.P. 15 per Ca' de' Giorgi;;167
PONTE NIZZA;PAVIA;EX PUNTO VENDITA ESSO N. 0237;EX 461 DEL PENICE - KM. 18+347,5;-;4119
RIVANAZZANO;PAVIA;TELECOM ITALIA SPA;Valdetara;6;10589
ROBBIO;PAVIA;P.V. ERG PV082;Mortara;11;5297
SAN GIORGIO DI LOMELLINA;PAVIA;Sversamento SADECOL resina ureica del 08/01/2008;Provinciale 211 Km 43+600;-;8276
SAN MARTINO SICCOMARIO;PAVIA;P.V. TOTAL 1142;596 località S. Croce;-;5475
SANNAZZARO DE'BURGONDI;PAVIA;APPEZZAMENTO AGRICOLO DI FORTUNATA SAS;SP 206;-;10128
SANNAZZARO DE'BURGONDI;PAVIA;EX DEPOSITO AGIP PETROLI - ENI DIV. R&M;Via Mattei;ND;3798
SANNAZZARO DE'BURGONDI;PAVIA;RAFFINERIA DI SANNAZZARO ENI S.P.A.;MATTEI;46;2798
SPESSA;PAVIA;ex RIVOL;;;213
STRADELLA;PAVIA;"incidente presso AdS ""Stradella Sud""";A21;-;5311
STRADELLA;PAVIA;PV Tamoil 4246;Repubblica;25;5312
TROMELLO;PAVIA;P.V. ESSO 0218;per Garlasco;19;5302
VALEGGIO;PAVIA;OLEODOTTO FERRERA-CASCINA CARDINALA;Cascina Cardinala;;15895
VALLE LOMELLINA;PAVIA;S.I.F.;Stazione FS;;232
VARZI;PAVIA;P.V. ESSO 0240 DI SALA EZIO;LOMBARDIA;92;3528
VARZI;PAVIA;Vallestaffora s.r.l. - Fraz. S. Martino Loc. Aronchio;S. Martino Loc. Aronchio;-;7649
VIGEVANO;PAVIA;EX INCENERITORE - ASM;TORINO;116;3786
VOGHERA;PAVIA;EX DITTA GROVE DRESSER ITALIA SRL - COOPER CAMERON VALVES;ITALO BETTO;11;3780
VOGHERA;PAVIA;EX P.V. AGIP 9053;Piacenza S.S. 10;;8891
CA' D'ANDREA;CREMONA;PIADENA EST EX CENTRALE, ENI SPA;;;3025
CASALMAGGIORE;CREMONA;F.I.R. ELETTROMECCANICA;Via Roma;19;40
CASTELLEONE;CREMONA;BIC ITALIA S.p.A.;VILLA GALLOTTA DI SOTTO;;3405
CREMONA;CREMONA;ADS 2616 CREMONA SUD;A21 Km. 194;;7804
CREMONA;CREMONA;Area ex Armaguerra;Castelleone;;7809
CREMONA;CREMONA;DITTA FRAGNI;delle industrie;34;14438
CREMONA;CREMONA;KEROPETROL;boschetto;12;14408
CREMONA;CREMONA;TAMOIL RAFFINAZIONE SPA;CADUTI DEL LAVORO;30;3011
GRUMELLO CREMONESE ED UNITI;CREMONA;P.V. API 41860, S.S. 415 km 58+711;415 km 58+711;-;6101
OFFANENGO;CREMONA;STABILIMENTO BOSCH VHIT SPA;CIRCONVALLAZIONE SUD;22;3490
SALVIROLA;CREMONA;PV  6085, TAMOIL PETROLI SPA;UMBERTO I;18;3031
SERGNANO;CREMONA;P.V.  TAMOIL 6086;Marconi;-;4767
SERGNANO;CREMONA;STOGIT SPA CENTRALE DI SERGNANO 2;;;3463
ACQUANEGRA SUL CHIESE;MANTOVA;DISCARICA ABUSIVA EX FLUCOSIT;VALLI DI MOSIO;;3233
ACQUANEGRA SUL CHIESE;MANTOVA;Fraz. Mosio - ex Italfert;ALDO MORO;70;1651
ACQUANEGRA SUL CHIESE;MANTOVA;P.V. TAMOIL 3415;Matteotti;58;4822
ASOLA;MANTOVA;EX CONSORZIO AGRARIO;Brescia;12;3864
ASOLA;MANTOVA;ex Ditta Ghisleri e Domaschio;Pirandello;;1654
ASOLA;MANTOVA;EX  FLUCOSIT;68;;11
BAGNOLO SAN VITO;MANTOVA;P.V. ESSO 12A9;Autobrennero A22 km 45,6;-;3246
CARBONARA DI PO;MANTOVA;CENTRALE TERMOELETTRICA ENEL- EUROGEN;CRISTOFORO COLOMBO;2;2186
CASTELLUCCHIO;MANTOVA;P.V. TAMOIL 8279;Roma S.S. 10 Padana Inferiore;-;4819
CASTIGLIONE DELLE STIVIERE;MANTOVA;Albright & Wilson ex Marchon - ora HUNTSMAN SURFACE SCIENCES ITALIA S.r.l.;CAVOUR;50;48
CASTIGLIONE DELLE STIVIERE;MANTOVA;Area Ex Rubinetterie Rapetti;-;-;4775
CASTIGLIONE DELLE STIVIERE;MANTOVA;Area MDG FOR LOG S.P.A. Messaggerie del Garda;Carpenedolo;90;7865
CASTIGLIONE DELLE STIVIERE;MANTOVA;AUTOLAVAGGIO DITTA BERTANI TRASPORTI;Cavour;58;14075
CASTIGLIONE DELLE STIVIERE;MANTOVA;Cava del PIRATA;;;49
CASTIGLIONE DELLE STIVIERE;MANTOVA;Cava LA BUSA;;;50
MANTOVA;MANTOVA;Area CLAIPA;S. Marta;15;4797
MANTOVA;MANTOVA;AREA COMUNALE;Porta Cerese/angolo v.le Allende;;11049
MANTOVA;MANTOVA;POLO CHIMICO MANTOVA: POLIMERI EUROPA EX ENICHEM  sversamento accidentale benzene dalla stazione pipeline;TALIERCIO G.;14;2400
MANTOVA;MANTOVA;P.V. AGIP 2094, Località Lunetta;Legnago;1;4813
MANTOVA;MANTOVA;P.V. ERG, Località Cittadella, S.S. 62 della Cisa;62 della Cisa;-;4798
MANTOVA;MANTOVA;P.V. ESSO;FAVORITA;;3865
MANTOVA;MANTOVA;TEA SPA;STRETTO;12;3515
MARCARIA;MANTOVA;DITTA AGA.VI, LOCALITA' CAMPITELLO;MOTTELLA;7;2477
MARMIROLO;MANTOVA;SITO LA FONTANA;Strada Soave;22H;14840
MARMIROLO;MANTOVA;SVERSAMENTO DI GASOLIO S.S 236 KM 7+600;S.S 236;0;12416
OSTIGLIA;MANTOVA;Centrale elettrica E-On - Area parco combustibile PN1, zona ex serbatoio S2;-;-;6602
OSTIGLIA;MANTOVA;Donaldson Italia S.r.l.;Abetone Brennero;15;6601
