Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe;CampoUnivoco;                                                                                                                                                                 ##
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;CENTRALI PRODUTTORI LATTE LOMBARDIA S.P.A.;2 GIUGNO;15;3212;463;                                                                                                                                    ##
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;DEPOSITI HUB EX AGIP A ED EX ESSO;AEROPORTO DI MILANO LINATE;;3532;464;                                                                                                                             ##
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;DEPOSITO HUB EX AGIP PETROLI B;AEROPORTO DI MILANO LINATE;;2696;465;                                                                                                                                ##
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;RAI Rifornimenti Aeroporti Italiani ex RAM - deposito RAI1;Linate;-;15190;466;                                                                                                                      ##
PESCHIERA BORROMEO;CITTA' METROPOLITANA DI MILANO;Stabilimento SIRPI S.p.a.;Grandi;8;4882;467;                                                                                                                                                        ##
PIEVE EMANUELE;CITTA' METROPOLITANA DI MILANO;KM 5, AUTOSPED S.A.S.;28 KM 5;;2765;468;                                                                                                                                                                ##
PIEVE EMANUELE;CITTA' METROPOLITANA DI MILANO;P.V. ERG MI391, Via Amendola ang. Via Fizzonasco;Via Amendola ang. Via Fizzonasco;-;4541;469;                                                                                                           ##
PIOLTELLO;CITTA' METROPOLITANA DI MILANO;Incidente 8 aprile 2004, Strada Rivoltana km 3+900;Rivoltana;-;4615;470;                                                                                                                                     ##
POGLIANO MILANESE;CITTA' METROPOLITANA DI MILANO;Ditta Marbo Italia S.p.a.;Tasso;25/27;5700;471;                                                                                                                                                      ##
PREGNANA MILANESE;CITTA' METROPOLITANA DI MILANO;AGIP PETROLI SPA, AREA DEPOSITO;VANZAGO;4;2586;472;                                                                                                                                                  ##
PREGNANA MILANESE;CITTA' METROPOLITANA DI MILANO;DEPOSITO KUWAIT;LOMBARDIA;38;2764;473;                                                                                                                                                               ##
RESCALDINA;CITTA' METROPOLITANA DI MILANO;DITTA COLOMBO SPA;GRIGNA;32;2357;474;                                                                                                                                                                       ##
RHO;CITTA' METROPOLITANA DI MILANO;AGIP PETROLI SPA, FRAZIONE LUCERNATE;LUCERNATE;;2582;475;                                                                                                                                                          ##
RHO;CITTA' METROPOLITANA DI MILANO;Area Ex Muggiani;Volta/Torino;-;4839;476;                                                                                                                                                                          ##
RHO;CITTA' METROPOLITANA DI MILANO;CAMBIAGHI S.P.A.;SESIA;8/12;2628;477;                                                                                                                                                                              ##
RHO;CITTA' METROPOLITANA DI MILANO;Cava TERRAZZANO;;;174;478;                                                                                                                                                                                         ##
RHO;CITTA' METROPOLITANA DI MILANO;CROMATURA RHODENSE;SENNA;11;2763;479;                                                                                                                                                                              ##
RHO;CITTA' METROPOLITANA DI MILANO;DEPOSITO AGIP PETROLI SpA;PREGNANA;103;2886;480;                                                                                                                                                                   ##
RHO;CITTA' METROPOLITANA DI MILANO;FOSFANTARTIGLIO-LEI;LIVENZA;15;177;481;                                                                                                                                                                            ##
RHO;CITTA' METROPOLITANA DI MILANO;Immob. EDERA S.r.l. e IPR, ex  area ACNA, ex Chimica Bianchi;MOLINO NUOVO/VALLASSA - VIA MAGENTA,;77;178;482;                                                                                                      ##
RHO;CITTA' METROPOLITANA DI MILANO;INCIDENTE DEL 26 LUGLIO 2010;dei Fontanili;0;16187;483;                                                                                                                                                            ##
RODANO;CITTA' METROPOLITANA DI MILANO;SOC. LABONI SRL;Kennedy;1;15589;484;                                                                                                                                                                            ##
ROZZANO;CITTA' METROPOLITANA DI MILANO;Area Mappale 117 foglio 1;Monta Bianco;60/a;15150;485;                                                                                                                                                         ##
ROZZANO;CITTA' METROPOLITANA DI MILANO;CENTRO COMMERCIALE FIORDALISO, SHELL ITALIA SPA;CURIEL;25;2408;486;                                                                                                                                            ##
ROZZANO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO ITALIANA Srl n°0881;LOMBARDIA;38/A;2862;487;                                                                                                                                                        ##
SAN DONATO MILANESE;CITTA' METROPOLITANA DI MILANO;Area De Gasperi Ovest;-;-;6840;488;                                                                                                                                                                ##
SAN DONATO MILANESE;CITTA' METROPOLITANA DI MILANO;ex AGL, PIRELLI CAVI & SISTEMI SpA;PARRI;2;2870;489;                                                                                                                                               ##
SAN DONATO MILANESE;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP N. 2290;SAN DONATO EST DIREZIONE BO-MI;;4070;490;                                                                                                                               ##
SAN GIORGIO SU LEGNANO;CITTA' METROPOLITANA DI MILANO;EX CHICO SNC;Einstein;0;10427;491;                                                                                                                                                              ##
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;BIELPE SPA - PUNTO VENDITA CARBURANTI;SILVIO PELLICO - FRAZIONE SESTO ULTERIANO;;3525;492;                                                                                                       ##
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;Ditta Zincheria Musso;Lombardia;16;6986;493;                                                                                                                                                     ##
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE ASSAGO, EX ANTIBIOTICOS;;;3218;494;                                                                                                                                                  ##
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;KLUBER LUBRICATION ITALIA;Monferrato;57;14847;495;                                                                                                                                               ##
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP N. 2263;N. 40 MELEGNANO BINASCO;;3609;496;                                                                                                                                    ##
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA TAMOIL 8058;ROMA - S.S. 9 EMILIA;9;4005;497;                                                                                                                                       ##
SAN GIULIANO MILANESE;CITTA' METROPOLITANA DI MILANO;Sito Air Product, proprietà ASHLAND ITALIA S.P.A.;UMBRIA;4;2902;498;                                                                                                                            ##
SEGRATE;CITTA' METROPOLITANA DI MILANO;EX DITTA 3B ITALIA SRL;REDECESIO;14/18;3669;499;                                                                                                                                                               ##
SENAGO;CITTA' METROPOLITANA DI MILANO;Area di Via Brodolini soc. Enel Distribuzione;Brodolini;-;15087;500;                                                                                                                                            ##
SENAGO;CITTA' METROPOLITANA DI MILANO;AREA EX PLASTECO MILANO S.r.l. - zona b proprietà Londra s.r.l.;MONTI;3;3623;501;                                                                                                                              ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA BC46;Madonna del Bosco;330;15829;502;                                                                                                                                                          ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;Area Elyo;Barcellona;3;4485;503;                                                                                                                                                                    ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA EX ENICHEM // Soc. AREE srl;LUINI;241;3889;504;                                                                                                                                                ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA EX MARELLI - ex SAPSA BEDDING SPA ora NICHELCROM;RIMEMBRANZE;62;2478;505;                                                                                                                      ##
